**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
0.0, elevID,0,  pos,-2,  cmd, goto,6
0.0, elevID,1,  pos,-2,  cmd, goto,9
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
17.0,Elevator call,16.957882888088932,-1,0,1,1, got allocated to elevator, 1
18.0, elevID,0,  pos,6,  cmd, goto,0
21.0, elevID,1,  pos,9,  cmd, goto,-1
23.0,Elevator call,22.094056301593582,0,-1,1,0, got allocated to elevator, 0
, elevID,0,  pos,6,  WRONG cmd, stop,0,  the elevator is not moving!
34.0,Elev,0,  arrived at src, 0, Elevator call,4.374727290393253,0,-1,2,0
34.0,Elev,0,  arrived at src, 0, Elevator call,22.094056301593582,0,-1,2,0
34.0, elevID,0,  pos,0,  cmd, goto,0
35.0, elevID,0,  pos,0,  cmd, goto,0
36.0, elevID,0,  pos,0,  cmd, goto,0
37.0, elevID,0,  pos,0,  cmd, goto,0
38.0, elevID,0,  pos,0,  cmd, goto,0
39.0, elevID,0,  pos,0,  cmd, goto,0
40.0, elevID,0,  pos,0,  cmd, goto,0
41.0, elevID,0,  pos,0,  cmd, goto,0
41.0,Elev,1,  arrived at src, -1, Elevator call,16.957882888088932,-1,0,2,1
41.0, elevID,1,  pos,-1,  cmd, goto,-1
42.0, elevID,0,  pos,0,  cmd, goto,0
42.0, elevID,1,  pos,-1,  cmd, goto,-1
43.0, elevID,0,  pos,0,  cmd, goto,0
43.0, elevID,1,  pos,-1,  cmd, goto,-1
44.0, elevID,0,  pos,0,  cmd, goto,0
44.0, elevID,1,  pos,-1,  cmd, goto,-1
45.0, elevID,0,  pos,0,  cmd, goto,0
45.0, elevID,1,  pos,-1,  cmd, goto,-1
46.0, elevID,0,  pos,0,  cmd, goto,0
46.0, elevID,1,  pos,-1,  cmd, goto,-1
47.0, elevID,0,  pos,0,  cmd, goto,0
47.0, elevID,1,  pos,-1,  cmd, goto,-1
48.0, elevID,0,  pos,0,  cmd, goto,0
48.0, elevID,1,  pos,-1,  cmd, goto,-1
49.0, elevID,0,  pos,0,  cmd, goto,0
49.0, elevID,1,  pos,-1,  cmd, goto,-1
50.0, elevID,0,  pos,0,  cmd, goto,0
50.0, elevID,1,  pos,-1,  cmd, goto,-1
51.0, elevID,0,  pos,0,  cmd, goto,0
51.0, elevID,1,  pos,-1,  cmd, goto,-1
52.0, elevID,0,  pos,0,  cmd, goto,0
52.0, elevID,1,  pos,-1,  cmd, goto,-1
53.0, elevID,0,  pos,0,  cmd, goto,0
53.0, elevID,1,  pos,-1,  cmd, goto,-1
54.0, elevID,0,  pos,0,  cmd, goto,0
54.0, elevID,1,  pos,-1,  cmd, goto,-1
55.0, elevID,0,  pos,0,  cmd, goto,0
55.0, elevID,1,  pos,-1,  cmd, goto,-1
56.0, elevID,0,  pos,0,  cmd, goto,0
56.0, elevID,1,  pos,-1,  cmd, goto,-1
57.0, elevID,0,  pos,0,  cmd, goto,0
57.0, elevID,1,  pos,-1,  cmd, goto,-1
58.0, elevID,0,  pos,0,  cmd, goto,0
58.0, elevID,1,  pos,-1,  cmd, goto,-1
59.0, elevID,0,  pos,0,  cmd, goto,0
59.0, elevID,1,  pos,-1,  cmd, goto,-1
60.0, elevID,0,  pos,0,  cmd, goto,0
60.0, elevID,1,  pos,-1,  cmd, goto,-1
61.0, elevID,0,  pos,0,  cmd, goto,0
61.0, elevID,1,  pos,-1,  cmd, goto,-1
62.0, elevID,0,  pos,0,  cmd, goto,0
62.0, elevID,1,  pos,-1,  cmd, goto,-1
63.0, elevID,0,  pos,0,  cmd, goto,0
63.0, elevID,1,  pos,-1,  cmd, goto,-1
64.0, elevID,0,  pos,0,  cmd, goto,0
64.0, elevID,1,  pos,-1,  cmd, goto,-1
65.0, elevID,0,  pos,0,  cmd, goto,0
65.0, elevID,1,  pos,-1,  cmd, goto,-1
66.0, elevID,0,  pos,0,  cmd, goto,0
66.0, elevID,1,  pos,-1,  cmd, goto,-1
67.0, elevID,0,  pos,0,  cmd, goto,0
67.0, elevID,1,  pos,-1,  cmd, goto,-1
68.0, elevID,0,  pos,0,  cmd, goto,0
68.0, elevID,1,  pos,-1,  cmd, goto,-1
69.0, elevID,0,  pos,0,  cmd, goto,0
69.0, elevID,1,  pos,-1,  cmd, goto,-1
70.0, elevID,0,  pos,0,  cmd, goto,0
70.0, elevID,1,  pos,-1,  cmd, goto,-1
71.0, elevID,0,  pos,0,  cmd, goto,0
71.0, elevID,1,  pos,-1,  cmd, goto,-1
72.0, elevID,0,  pos,0,  cmd, goto,0
72.0, elevID,1,  pos,-1,  cmd, goto,-1
73.0, elevID,0,  pos,0,  cmd, goto,0
73.0, elevID,1,  pos,-1,  cmd, goto,-1
74.0, elevID,0,  pos,0,  cmd, goto,0
74.0, elevID,1,  pos,-1,  cmd, goto,-1
75.0, elevID,0,  pos,0,  cmd, goto,0
75.0, elevID,1,  pos,-1,  cmd, goto,-1
76.0, elevID,0,  pos,0,  cmd, goto,0
76.0, elevID,1,  pos,-1,  cmd, goto,-1
77.0, elevID,0,  pos,0,  cmd, goto,0
